Township Name,Sale date,Street,Type,Tenure,Storey,Bedrooms,Land area,Built-up,Price,Price PSF
"TAMAN SCIENTEX, Pasir Gudang, Johor",02/01/2023,JALAN KIJANG 13,Terrace House - intermediate,Freehold,2,-,960 sq. ft.,-,"RM 360,000",RM 375
"TAMAN SCIENTEX, Pasir Gudang, Johor",29/12/2022,JALAN MURAI 10,Terrace House - corner lot,Freehold,2,-,"2,303 sq. ft.",-,"RM 470,000",RM 204
"TAMAN SCIENTEX, Pasir Gudang, Johor",29/12/2022,JALAN HELANG 13,Terrace House - end lot,Freehold,2,-,775 sq. ft.,-,"RM 300,000",RM 387
"TAMAN SCIENTEX, Pasir Gudang, Johor",29/12/2022,JALAN MERPATI 1,Terrace House - intermediate,Freehold,2,-,958 sq. ft.,-,"RM 370,000",RM 386
"TAMAN SCIENTEX, Pasir Gudang, Johor",23/12/2022,JALAN SERINDIT 3,Terrace House - corner lot,Freehold,2,-,"1,604 sq. ft.",-,"RM 430,000",RM 268
"TAMAN SCIENTEX, Pasir Gudang, Johor",21/12/2022,JALAN KENARI 11,Terrace House - intermediate,Freehold,2,-,775 sq. ft.,-,"RM 270,000",RM 348
"TAMAN SCIENTEX, Pasir Gudang, Johor",21/12/2022,JALAN MERBAH 1,Terrace House - intermediate,Freehold,2,-,958 sq. ft.,-,"RM 350,000",RM 365
"TAMAN SENTOSA, Klang, Selangor",09/03/2023,LORONG LAKSAMANA 29A/KS7,Terrace House - intermediate,Freehold,2,-,"1,195 sq. ft.",-,"RM 499,000",RM 418
"TAMAN SENTOSA, Klang, Selangor",07/03/2023,JALAN DATO ABDUL HAMID 29,Terrace House - intermediate,Freehold,1,-,"1,195 sq. ft.",-,"RM 340,000",RM 285
"TAMAN SENTOSA, Klang, Selangor",27/02/2023,LORONG HULUBALANG 27C/KS7,Terrace House - intermediate,Freehold,1,-,"1,550 sq. ft.",-,"RM 450,000",RM 290
"TAMAN SENTOSA, Klang, Selangor",20/02/2023,JALAN DATO DAGANG 29,Terrace House - end lot,Freehold,2,-,829 sq. ft.,-,"RM 360,000",RM 434
"TAMAN SENTOSA, Klang, Selangor",16/02/2023,JALAN DATO ABD HAMID 23,Terrace House - intermediate,Freehold,1,-,"1,200 sq. ft.",-,"RM 350,000",RM 292
"TAMAN SENTOSA, Klang, Selangor",13/02/2023,JALAN DATO ABDUL HAMID 26,Terrace House - intermediate,Freehold,1,-,"1,195 sq. ft.",-,"RM 480,000",RM 402
"TAMAN SENTOSA, Klang, Selangor",13/02/2023,LORONG HULUBALANG 9B/KS7,Terrace House - intermediate,Freehold,2,-,"1,012 sq. ft.",-,"RM 480,000",RM 474
"TAMAN SENTOSA, Klang, Selangor",10/02/2023,JALAN LAKSAMANA 9/KS7,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 590,000",RM 422
"TAMAN SENTOSA, Klang, Selangor",09/02/2023,LORONG DATO ABDUL HAMID 25A,Terrace House - intermediate,Freehold,1,-,"1,195 sq. ft.",-,"RM 440,000",RM 368
"TAMAN SENTOSA, Klang, Selangor",09/02/2023,JALAN DATO YUSOF SHAHBUDIN 21,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 450,000",RM 346
"BUKIT SENTOSA, Serendah, Selangor",10/03/2023,JALAN TELIPOT 3,Terrace House - intermediate,Freehold,1,-,"1,076 sq. ft.",-,"RM 116,000",RM 108
"BUKIT SENTOSA, Serendah, Selangor",01/03/2023,JALAN BUNGA KERTAS 3C,Terrace House - intermediate,Freehold,2,-,"1,400 sq. ft.",-,"RM 330,000",RM 236
"BUKIT SENTOSA, Serendah, Selangor",27/02/2023,JALAN TELIPOT 1A/7,Terrace House - corner lot,Freehold,2,-,"2,680 sq. ft.",-,"RM 400,000",RM 149
"BUKIT SENTOSA, Serendah, Selangor",24/02/2023,JALAN KEMBOJA 4A/13,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 190,000",RM 136
"BUKIT SENTOSA, Serendah, Selangor",21/02/2023,JALAN KEMBOJA 5A/1,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 330,000",RM 236
"BUKIT SENTOSA, Serendah, Selangor",15/02/2023,JALAN BAKAWALI 2B/6,Terrace House - intermediate,Freehold,2,-,"1,076 sq. ft.",-,"RM 300,000",RM 279
"BUKIT SENTOSA, Serendah, Selangor",13/02/2023,JALAN BAKAWALI 2B/5,Terrace House - intermediate,Freehold,2,-,"1,076 sq. ft.",-,"RM 225,000",RM 209
"BUKIT SENTOSA, Serendah, Selangor",13/02/2023,JALAN TANJUNG 3,Bungalow,Freehold,1,-,"6,000 sq. ft.",-,"RM 630,000",RM 105
"BUKIT SENTOSA, Serendah, Selangor",13/02/2023,JALAN BAKAWALI 2C,Terrace House - intermediate,Freehold,1,-,"1,076 sq. ft.",-,"RM 300,000",RM 279
"BUKIT SENTOSA, Serendah, Selangor",10/02/2023,JALAN ANGGERIK 4A,Terrace House - intermediate,Freehold,2,-,"1,399 sq. ft.",-,"RM 255,000",RM 182
"BANDAR BUKIT RAJA, Kapar, Selangor",10/03/2023,JALAN ULEK MAYANG 1D/KU5,Terrace House - intermediate,Freehold,2,-,"1,507 sq. ft.",-,"RM 580,000",RM 385
"BANDAR BUKIT RAJA, Kapar, Selangor",24/02/2023,JALAN MAKYONG 4F/KU5,Terrace House - corner lot,Freehold,1,-,"4,158 sq. ft.",-,"RM 600,000",RM 144
"BANDAR BUKIT RAJA, Kapar, Selangor",20/02/2023,JALAN ULEK MAYANG 3B/KU5,Terrace House - intermediate,Freehold,2,-,"1,507 sq. ft.",-,"RM 785,000",RM 521
"BANDAR BUKIT RAJA, Kapar, Selangor",13/02/2023,JALAN MAKYONG 3B/KU5,Terrace House - intermediate,Freehold,2,-,"1,650 sq. ft.",-,"RM 700,000",RM 424
"BANDAR BUKIT RAJA, Kapar, Selangor",08/02/2023,JALAN MAKYONG 2M/KU5,Terrace House - end lot,Freehold,1,-,"2,210 sq. ft.",-,"RM 510,000",RM 231
"BANDAR BUKIT RAJA, Kapar, Selangor",30/01/2023,JALAN ZAPIN 2C/KU5,Terrace House - intermediate,Freehold,1,-,"1,302 sq. ft.",-,"RM 499,000",RM 383
"BANDAR BUKIT RAJA, Kapar, Selangor",30/01/2023,JALAN SUMAZAU 4A/KU5,Terrace House - intermediate,Freehold,2,-,"1,302 sq. ft.",-,"RM 670,000",RM 515
